title, link, description
"Taxonomy Regulation - Implementing and delegated acts: full list", https://finance.ec.europa.eu/regulation-and-supervision/financial-services-legislation/implementing-and-delegated-acts/taxonomy-regulation_en, "Central index for RAG. It contains all Technical Screening Criteria (TSC) for biodiversity and climate objectives."
"Bank of Greece Annual Report 2023 — Box X.2: Biodiversity Loss and Financial Risk", https://www.bankofgreece.gr/Publications/Annrep2023.pdf (page 237), "Official acknowledgment by the Greek central bank that ecosystem degradation creates direct financial risk — establishes that domestic banks are already under institutional pressure to assess biodiversity impact, making our tool directly relevant to the Epirus Bank context."
"SFDR - Implementing and delegated acts: full list", https://finance.ec.europa.eu/regulation-and-supervision/financial-services-legislation/implementing-and-delegated-acts/sustainable-finance-disclosures-regulation_en, "Defines the disclosure rules for financial products. Our tool uses this to help banks categorize investments under Articles 8 & 9, ensuring they provide the mandatory evidence for biodiversity impact."
"CSRD - ESRS E4: Biodiversity and Ecosystems Standard", https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:32025R1416, "Important update to CSRD. It specifies the new timeline and postponements for certain sustainability disclosures, which affects when companies must start reporting biodiversity data."
"Guidance on the identification and assessment of nature-related issues: the LEAP approach", https://tnfd.global/publication/recommendations-of-the-taskforce-on-nature-related-financial-disclosures/, "Strategic framework to link eDNA biodiversity data with the "Locate" and "Evaluate" assessment phases."
"Taskforce on Nature-related Financial Disclosures (TNFD) Recommendations", https://tnfd.global/publication/recommendations-of-the-taskforce-on-nature-related-financial-disclosures/, "The core regulatory standards and pillars (Governance, Strategy) that define compliance for the AI."
"Additional guidance for financial institutions", https://tnfd.global/publication/additional-disclosure-guidance-for-financial-institutions/, "Technical manual for banks to translate nature risks into financial metrics and Biodiversity Risk Scores."
"Executive Summary of the TNFD Recommendations", https://tnfd.global/publication/executive-summary-2/, "High-level summary used as a baseline for the AI to generate clear, non-technical reports for clients."
"Environmental DNA (eDNA) Technology in Biodiversity and Ecosystem Health Research: Advances and Prospects", https://pmc.ncbi.nlm.nih.gov/articles/PMC12789655/, "Provides the scientific and technological foundation proving that eDNA metabarcoding, combined with machine learning, delivers faster and more accurate ecosystem health assessments than traditional methods — validating the core data source of our Risk Score engine"
"A manager's guide to using eDNA metabarcoding in marine ecosystems", https://pmc.ncbi.nlm.nih.gov/articles/PMC9673773/, "Real-world industrial case study proving eDNA detected 94.1% of species found by conventional surveys at active commercial ports, plus 55 additional native species — direct evidence that eDNA works at scale in the exact type of high-impact industrial sites banks finance."
"eDNA offers opportunities for improved biodiversity monitoring within forest carbon markets", https://www.nature.com/articles/s43247-024-01970-y, "Demonstrates that eDNA is already being used to verify biodiversity outcomes in financial instruments (carbon markets), establishing scientific precedent for integrating molecular biodiversity data directly into financial reporting and compliance frameworks like TNFD"
"Using Environmental DNA to manage biodiversity risks", https://www.thebiodiversityconsultancy.com/fileadmin/uploads/tbc/Documents/Resources/eDNA-and-biodiversity-risk-briefing-note.pdf, "Industry-facing briefing that translates eDNA science into risk management language — bridges the gap between biological monitoring and the financial risk assessment logic our platform is built on."
"European Environment Agency News", https://www.eea.europa.eu/en/newsroom, "
We leverage this source to provide the AI with official, real-time environmental updates and press releases from the European Union. It serves as a primary feed for our Early Warning System, allowing the RAG model to detect emerging ecological risks, new nature restoration mandates, or biodiversity alerts. By monitoring this data, the bank can proactively adjust Risk Scores for projects in affected European regions before official regulatory shifts occur.

"
